date,orders_count,revenue,canceled_orders,avg_order_value,revenue_items,revenue_payments
2018-03-28,220.0,35150.72,2.0,159.78,34416.66,35150.72
2018-03-29,194.0,33564.47,1.0,173.01,33562.67,33564.47
2018-03-30,165.0,26279.75,0.0,159.27,26275.079999999998,26279.75
2018-03-31,168.0,29121.4,1.0,173.34,29053.17,29121.4
2018-04-01,207.0,34189.0,0.0,165.16,34189.0,34189.0
2018-04-02,282.0,48076.45,2.0,170.48,47968.33,48076.45
2018-04-03,247.0,42187.32,1.0,170.8,42070.51,42187.32
2018-04-04,257.0,43567.82,0.0,169.52,43567.82,43567.82
2018-04-05,266.0,42219.17,0.0,158.72,42218.8,42219.17
2018-04-06,189.0,32285.36,1.0,170.82,32285.34,32285.36
2018-04-07,164.0,29014.86,0.0,176.92,29014.87,29014.86
2018-04-08,185.0,27883.61,0.0,150.72,27877.68,27883.61
2018-04-09,253.0,55782.82,0.0,220.49,55782.82,55782.82
2018-04-10,201.0,32535.28,0.0,161.87,32535.260000000002,32535.28
2018-04-11,274.0,47204.47,0.0,172.28,47204.46,47204.47
2018-04-12,255.0,39945.38,0.0,156.65,39945.39,39945.38
2018-04-13,202.0,36440.53,3.0,180.4,36440.53,36440.53
2018-04-14,146.0,22397.87,0.0,153.41,22397.87,22397.87
2018-04-15,223.0,36564.19,0.0,163.96,36558.19,36564.19
2018-04-16,280.0,47364.65,1.0,169.16,47359.48,47364.65
2018-04-17,266.0,42814.25,2.0,160.96,42612.79,42814.25
2018-04-18,280.0,46308.65,0.0,165.39,46295.73,46308.65
2018-04-19,293.0,50326.53,3.0,171.76,49872.25,50326.53
2018-04-20,197.0,32841.64,1.0,166.71,32666.48,32841.64
2018-04-21,156.0,22465.89,0.0,144.01,22465.89,22465.89
2018-04-22,200.0,31991.79,0.0,159.96,31991.81,31991.79
2018-04-23,285.0,44363.29,0.0,155.66,44363.3,44363.29
2018-04-24,271.0,49905.02,1.0,184.15,49905.05,49905.02
2018-04-25,284.0,47356.49,1.0,166.75,47356.47,47356.49
2018-04-26,254.0,36912.77,1.0,145.33,36912.77,36912.77
2018-04-27,242.0,46764.3,1.0,193.24,46763.07,46764.3
2018-04-28,169.0,26978.52,1.0,159.64,26978.52,26978.52
2018-04-29,171.0,23060.95,1.0,134.86,23060.95,23060.95
2018-04-30,240.0,41036.61,0.0,170.99,41036.61,41036.61
2018-05-01,256.0,39274.26,2.0,153.42,38441.68,39274.26
2018-05-02,296.0,44908.63,1.0,151.72,44764.32,44908.63
2018-05-03,305.0,50218.85,1.0,164.65,49575.72,50218.85
2018-05-04,265.0,45494.1,0.0,171.68,45494.1,45494.1
2018-05-05,197.0,32640.67,2.0,165.69,32608.15,32640.67
2018-05-06,211.0,33099.31,2.0,156.87,32994.23,33099.31
2018-05-07,372.0,62568.25,3.0,168.19,62460.21,62568.25
2018-05-08,331.0,55129.38,4.0,166.55,54720.090000000004,55129.38
2018-05-09,344.0,51096.82,3.0,148.54,50968.64,51096.82
2018-05-10,279.0,58871.87,1.0,211.01,58871.89,58871.87
2018-05-11,247.0,43346.5,1.0,175.49,43250.01,43346.5
2018-05-12,207.0,34883.12,3.0,168.52,34712.37,34883.12
2018-05-13,207.0,36320.07,1.0,175.46,36202.29,36320.07
2018-05-14,364.0,62230.729999999996,1.0,170.96,62230.72,62230.729999999996
2018-05-15,352.0,49505.99,1.0,140.64,49506.02,49505.99
2018-05-16,357.0,64742.06,1.0,181.35,64739.090000000004,64742.06
2018-05-17,228.0,36258.36,2.0,159.03,35966.73,36258.36
2018-05-18,236.0,36429.77,0.0,154.36,36429.78,36429.77
2018-05-19,139.0,28319.73,1.0,203.74,28319.73,28319.73
2018-05-20,161.0,23086.12,1.0,143.39,23086.12,23086.12
